sample_id,GenusA,GenusB,GenusC,GenusD,GenusE,GenusF,GenusG,GenusH
synthetic-sample-0001,0.0,1.0552982806957982,0.5460860928580332,0.31816619954906517,0.197707630660702,0.8302559254844643,0.0,1.0
synthetic-sample-0002,2.2417289101311857,0.8315946523604724,1.3746384151249986,0.887293296230925,1.8633920974557177,1.814966192427947,0.0,1.0
synthetic-sample-0003,3.1487620637912634,0.686217058536895,0.6106031664411927,0.0,0.6217950094015973,0.8709017746653096,0.0,1.0
synthetic-sample-0004,1.2349502960333427,0.4321957658288369,0.4615763229024538,0.0,0.4540181098906692,0.41728974532042473,0.0,1.0
synthetic-sample-0005,0.9736223563767021,0.8715511212579073,0.675253476382485,0.44954925959073905,0.4081569485532623,1.9487666313157843,0.0,1.0
synthetic-sample-0006,4.354868767589968,0.8791379179336246,0.3039763710984829,1.3296559585162686,1.3969639993338558,0.34624374772970634,0.0,1.0
synthetic-sample-0007,0.5697917709861618,0.6725923325644934,4.541326038665749,0.6169511210457441,1.1711691215371043,2.833464067013236,0.0,1.0
synthetic-sample-0008,2.336161096285418,0.6908643273276868,1.9373520517373488,1.1156632061855092,0.6494218505895741,0.0,0.0,1.0
synthetic-sample-0009,0.8987451645623703,0.2859628958674117,0.9614978360179519,0.0,0.7028700187875283,0.29752807611272525,0.0,1.0
synthetic-sample-0010,0.5634279285355123,3.865507637003532,1.3068160311188768,0.48614144623676103,0.0,1.538208311089485,0.0,1.0
synthetic-sample-0011,2.0857964762401133,0.8743559941321688,0.9036126787627471,0.20804621745968588,0.0,0.5631416404345381,0.0,1.0
synthetic-sample-0012,0.21829619354704888,0.338611191740577,0.7767908162767397,2.737644845852688,1.1501287074139679,2.7280418601031595,0.0,1.0
synthetic-sample-0013,0.45075862230241365,0.16167240782044276,1.5108875312013579,4.196879471280989,0.19747611242073018,0.9581335365280886,0.0,1.0
synthetic-sample-0014,0.7736012632244024,0.0,0.8060319359753303,0.24440665829239727,0.6951849141564175,0.6943246664051008,0.0,1.0
synthetic-sample-0015,0.21198810985902797,2.816959014797439,0.5864098110440632,0.0,1.0256471849672655,0.1708555406947348,0.0,1.0
synthetic-sample-0016,1.023249728531714,0.5147112750695412,0.5327125564321371,0.8937010544437969,1.9583861171530144,1.8507118379887655,0.0,1.0
